code;translation
A;Felon Attacked Police Officer
B;Felon Attacked Fellow Police Officer
C;Felon Attacked a Civilian
D;Felon Attempted Flight From a Crime
E;Felon Killed in Commission of a Crime
F;Felon Resisted Arrest
G;Not Enough Information to Determine
