code;translation
HU;Husband
WI;Wife
CH;Common-Law Husband
CW;Common-Law Wife
MO;Mother
FA;Father
SO;Son
DA;Daughter
BR;Brother
SI;Sister
IL;In-Law
SF;Stepfather
SM;Stepmother
SS;Stepson
SD;Stepdaughter
OF;Other Family
NR;Neighbor
AQ;Acquaintance
BF;Boyfriend
GF;Girlfriend
XH;Ex-Husband
XW;Ex-Wife
EE;Employee
ER;Employer
FR;Friend
HO;Homosexual Relationship
OK;Other - known to victim
ST;Stranger
UN;Unknown
