code;translation
A;Single Victim/Single Offender
B;Single Victim/Unknown Offender(s)
C;Single Victim/Multiple Offenders
D;Multiple Victims/Single Offender
E;Multiple Victims/Multiple Offenders
F;Multiple Victims/Unknown Offender(s)
