601AL003012 6100002057640515560MONTGOMERY              ALA   060404110A006A42FW 61MW 40WI99 000000
601AL003012 6100002057640515560MONTGOMERY              ALA   060404110A007A00MB 21MB 12UN99 000000
601AL003012 6100002057640515560MONTGOMERY              ALA   100404110A001A36MB 44MB 40FR99 000000
601AL003012 6100002057640515560MONTGOMERY              ALA   100404110A002A24MW 20MB 12UN03 000000
601AL003012 6100002057640515560MONTGOMERY              ALA   100407111A003A04MB 23FB 40SO60 000000
601AL003012 6100002057640515560MONTGOMERY              ALA   100404110A004A28MB 22FB 20BF99 000000
601AL003012 6100002057640515560MONTGOMERY              ALA   110405111A001B32MB 00UU 40UN99 000000
601AL003012 6100002057640515560MONTGOMERY              ALA   110404110A002A19MB 35MB 12AQ99 000000
601AL003012 6100002057640515560MONTGOMERY              ALA   120404110A001A24MB 30FB 12UN99 000000
601AL005025 610000015326002   0FAIRHOPE                ALA   070404110A001A22MB 25MB 12UN40 000000
601AL005046 610000009741002   0GULF SHORES             ALA   050404110A001A45FW 46MW 12UN99 000000
601AL005056 610000005276002   0ROBERTSDALE             ALA   070406111A001B38MB 00UU 20UN99 000000
601AL006015 610000013137003   0EUFAULA                 ALA   020404110A001A25FB 27MW 12GF99 000000
601AL010008C610000010552007   0BUTLER                  ALA   050404110A001A50MW 53MW 20BR99 000000
601AL011015 6100000231060080420ANNISTON                ALA   060404110A001A17MB 16MB 12UN99 000000
601AL011015 6100000231060080420ANNISTON                ALA   070404110A001A30MB 18MB 12UN45 000000
601AL011015 6100000231060080420ANNISTON                ALA   100404110A001A44MB 46FB 20HU99 000000
601AL011025 6100000125480080421JACKSONVILLE            ALA   100404110A001A31FB 60FW 12NE99 000000
601AL011055 6100000213480080420OXFORD                  ALA   030406111A001D00MU 21MB 14AQ60 00300014MB 16FB 20MB
601AL013008C610000019632010   0CHEROKEE                ALA   020404110A001A58MB 35MB 12OF99 000000
601AL016008C610000014474013   0CLARKE                  ALA   020406111A001D24FB 35MB 90UN99 00100047MB
601AL016008C610000014474013   0CLARKE                  ALA   060404110A001A64MB 53MB 20UN99 000000
601AL016008C610000014474013   0CLARKE                  ALA   080404110A001A71FB 70FB 14UN99 000000
601AL016008C610000014474013   0CLARKE                  ALA   120406111A001D01MB 26MB 14UN99 00200012MB 26FB
601AL016026 610000004209013   0THOMASVILLE             ALA   080404110A001A71FB 70MB 14WI99 000000
601AL019016 610000003940016   0ELBA                    ALA   110404110A001A49FB 44MB 20UN99 000000
601AL019024 610000026562016   0ENTERPRISE              ALA   010406111A001A37FW 37MW 12WI60 000000
601AL019024 610000026562016   0ENTERPRISE              ALA   080406111A001B00FB 00UU 90UN99 000000
601AL019024 610000026562016   0ENTERPRISE              ALA   080404110A002A00FW 33FW 90DA99 000000
601AL019024 610000026562016   0ENTERPRISE              ALA   100404110A001A23MB 28MB 12UN45 000000
601AL020009C6100000210320172781COLBERT                 ALA   060404110A001A00MW 00MW 12NE45 000000
601AL023026 610000006659020   0OPP                     ALA   070404110A001A04MW 25MW 14OF99 000000
601AL025008B610000062622022   0CULLMAN                 ALA   070404110A001A39MW 57MU 12FR45 000000
601AL025008B610000062622022   0CULLMAN                 ALA   110406111A001C47MW 51MU 12OF45 000001                                                  29MU 12OF45
601AL026015 610000014907023   0OZARK                   ALA   050406111A001B52FB 00UU 90UN99 000000
601AL027015 610000020756024   0SELMA                   ALA   020406111A001B18MB 00UU 12UN99 000000
601AL027015 610000020756024   0SELMA                   ALA   040404110A001A63MB 35MB 20AQ99 000000
601AL027015 610000020756024   0SELMA                   ALA   040404110A002A04MB 30MB 12ST99 000000
601AL027015 610000020756024   0SELMA                   ALA   060404110A001A00FB 20MB 90ST99 000000
601AL028008B610000039146025   0DE KALB                 ALA   060404110A001A00MW 20MW 12AQ44 000000
601AL028008B610000039146025   0DE KALB                 ALA   070404110A001A00MW 62MW 12AQ45 000000
601AL029009B6100000511520265561ELMORE                  ALA   070404110A001A19MB 18MU 12UN45 000000
601AL030008C610000018799027   0ESCAMBIA                ALA   120404110A001A46FW 26MW 12MO99 000000
601AL031009B6100000314460283031ETOWAH                  ALA   070406111A001A53MW 47FW 12HU99 000000
601AL031024 6100000368560283030GADSDEN                 ALA   010404110A001A63MB 51FB 20UN99 000000
601AL031024 6100000368560283030GADSDEN                 ALA   010406111A002B45MB 00UU 20UN99 000000
601AL031024 6100000368560283030GADSDEN                 ALA   030406111A001B17MB 00UU 12UN99 000000
601AL031024 6100000368560283030GADSDEN                 ALA   110404110A001A44FW 53MW 40UN45 000000
601AL031024 6100000368560283030GADSDEN                 ALA   110404110A002A32MW 00MB 12UN05 000000
601AL031076 6100000084120283031SOUTHSIDE               ALA   020404110A001A50MW 45FW 12HU99 000000
601AL033016 610000009830030   0RUSSELLVILLE            ALA   100404110A001A70MW 54MW 12UN99 000000
601AL034009C6100000157870312271GENEVA                  ALA   070404110A001A34MW 52MW 20UN99 000000
601AL034016 6100000044520312271GENEVA                  ALA   070404110A001A52FW 65MW 12CW99 000000
601AL037009D6100000095600342271HENRY                   ALA   100406111A001B45MW 00UU 12UN99 000000
601AL037016 6100000026880342271ABBEVILLE               ALA   120913111A001A32MB 41FB 20BF99 000000
601AL038013 6100000654960352270DOTHAN                  ALA   030406111A001B69FW 00UU 12UN03 000000
601AL041009B6100000495950392781LAUDERDALE              ALA   010404110A001A23MW 37MW 12OF99 000000
601AL041009B6100000495950392781LAUDERDALE              ALA   030404110A001A37FW 32MW 12GF99 000000
601AL041009B6100000495950392781LAUDERDALE              ALA   060913111A001A27MW 00FW 14HU99 000000
601AL041014 6100000393190392780FLORENCE                ALA   010404110A001A38MB 21MB 12SF45 000000
601AL042009B6100000279750402101LAWRENCE                ALA   080404110A001A53MW 44MW 14SF99 000000
601AL043009B6100000561620410571LEE                     ALA   080404110A001A17MW 00MU 12UN99 000000
601AL043009B6100000561620410571LEE                     ALA   090404110A001A56MW 39MU 90UN99 000000
601AL043013 6100000533800410570AUBURN                  ALA   040406111A001B32MB 00UU 12UN99 000000
601AL043013 6100000533800410570AUBURN                  ALA   060404110A001A20MB 20MB 12UN99 000000
601AL043013 6100000533800410570AUBURN                  ALA   100406111A001B24MB 00UU 12UN99 000000
601AL043024 6100000264770410570OPELIKA                 ALA   040404110A001A21MB 18MB 12UN99 000000
601AL043024 6100000264770410570OPELIKA                 ALA   110406111A001B30MB 00UU 12UN99 000000
601AL044009B6100000546330423681LIMESTONE               ALA   040404110A001A43MW 48FW 12AQ45 000000
601AL044009B6100000546330423681LIMESTONE               ALA   070404110A001A23MW 23MW 14AQ45 000000
601AL046016 610000009865044   0TUSKEGEE                ALA   040913111A001A49FB 57MB 20WI99 000000
601AL046016 610000009865044   0TUSKEGEE                ALA   100404110A001A24MB 22MB 12HU99 000000
601AL046016 610000009865044   0TUSKEGEE                ALA   110406111A001B22MB 00UU 90UN99 000000
601AL047009A6100001111140453681MADISON                 ALA   040405111A001B00FW 00UU 12UN99 000000
601AL047009A6100001111140453681MADISON                 ALA   050404110A001A00MW 40FW 20HU99 000000
601AL047009A6100001111140453681MADISON                 ALA   070405111A001B00MW 00UU 12UN99 000000
601AL047009A6100001111140453681MADISON                 ALA   070404110A002A00FB 69MB 12WI99 000000
601AL047009A6100001111140453681MADISON                 ALA   080404110A001A00MW 41FW 20UN99 000000
601AL047009A6100001111140453681MADISON                 ALA   100405111A001B00MW 00UU 12UN99 000000
601AL047009A6100001111140453681MADISON                 ALA   100404110A002A00MB 24MW 20UN99 000000
601AL047012 6100001801050453680HUNTSVILLE              ALA   020404110A001A30MB 19MB 20AQ99 000000
601AL047012 6100001801050453680HUNTSVILLE              ALA   030404110A001A47MB 67MB 12UN99 000000
601AL047012 6100001801050453680HUNTSVILLE              ALA   060405111A001B23FB 00UU 12UN99 000000
601AL047012 6100001801050453680HUNTSVILLE              ALA   060404110A002A17MB 22MB 12UN99 000000
601AL047012 6100001801050453680HUNTSVILLE              ALA   070404110A001A30MW 33MW 12AQ99 000000
601AL047012 6100001801050453680HUNTSVILLE              ALA   070405111A002B60MB 00UU 90UN99 000000
601AL047012 6100001801050453680HUNTSVILLE              ALA   090404110A001A19MB 47MB 14ST99 000000
601AL047012 6100001801050453680HUNTSVILLE              ALA   090405111A002C28MW 22MB 14AQ03 000001                                                  24MB 14AQ03
601AL047012 6100001801050453680HUNTSVILLE              ALA   110404110A001A61FW 46MB 90UN99 000000
601AL047012 6100001801050453680HUNTSVILLE              ALA   110405111A002B41FW 00UU 90UN99 000000
601AL047012 6100001801050453680HUNTSVILLE              ALA   120404110A001A25MW 44MW 12UN99 000000
601AL047012 6100001801050453680HUNTSVILLE              ALA   120404110A002A49MB 34FB 12BF99 000000
601AL047024 6100000429380453681MADISON                 ALA   020118121A001A14MB 14MI 12UN99 000000
601AL049026 610000004717047   0WINFIELD                ALA   090406111A001A42MW 00MU 14SS99 000000
601AL050008B610000045557048   0MARSHALL                ALA   060913111A001A46FW 57MW 12WI99 000000
601AL050008B610000045557048   0MARSHALL                ALA   100404110A001A45MW 22MW 90FR99 000000
601AL051008C610000014216050   0MONROE                  ALA   070404110A001A37MB 31MB 12FR99 000000
601AL052013 6100000556830522100DECATUR                 ALA   010406111A001B88FB 00UU 90UN99 000000
601AL052013 6100000556830522100DECATUR                 ALA   050406111A001B22MW 00UU 12UN99 000000
601AL052013 6100000556830522100DECATUR                 ALA   090406111A001B19MB 00UU 12UN99 000000
601AL052013 6100000556830522100DECATUR                 ALA   110406111A001A34FW 38MW 12XW60 000000
601AL055008C610000012790055   0PIKE                    ALA   010913111A001A50FB 59MB 12GF99 000000
601AL056016 610000006074056   0ROANOKE                 ALA   070404110A001A31MB 17MB 12UN99 000000
601AL057014 6100000328220571841PHENIX CITY             ALA   010404110A001A36MB 20MB 12FR45 000000
601AL057014 6100000328220571841PHENIX CITY             ALA   060913111A001A32FB 36MB 12WI45 000000
601AL057014 6100000328220571841PHENIX CITY             ALA   100404110A001A28MW 29MW 14AQ45 000000
601AL057014 6100000328220571841PHENIX CITY             ALA   100404110A002A54MB 62MW 14FR45 000000
601AL058009B6100000336260580981ST. CLAIR               ALA   020406111A001B54MW 00UU 90UN05 000000
601AL059009B6100000796600590981SHELBY                  ALA   070404110A001A33MW 56MW 12SO99 000000
601AL059065 6100000213520590981PELHAM                  ALA   050404110A001A77FW 84MW 20WI99 000000
601AL060026 610000003485060   0LIVINGSTON              ALA   010404110A001A32FB 32MB 12WI99 000000
